~iteration~,embedding_size,memory_size,queue_idx
1150,128,4096,3840
1151,128,4096,0
1152,128,4096,256
1153,128,4096,512
1154,128,4096,768
1155,128,4096,1024
1156,128,4096,1280
1157,128,4096,1536
1158,128,4096,1792
1159,128,4096,2048
1160,128,4096,2304
1161,128,4096,2560
1162,128,4096,2816
1163,128,4096,3072
1164,128,4096,3328
1165,128,4096,3584
1166,128,4096,3840
1167,128,4096,0
1168,128,4096,256
1169,128,4096,512
1170,128,4096,768
1171,128,4096,1024
1172,128,4096,1280
1173,128,4096,1536
1174,128,4096,1792
1175,128,4096,2048
1176,128,4096,2304
1177,128,4096,2560
1178,128,4096,2816
1179,128,4096,3072
1180,128,4096,3328
1181,128,4096,3584
1182,128,4096,3840
1183,128,4096,0
1184,128,4096,256
1185,128,4096,512
1186,128,4096,768
1187,128,4096,1024
1188,128,4096,1280
1189,128,4096,1536
1190,128,4096,1792
1191,128,4096,2048
1192,128,4096,2304
1193,128,4096,2560
1194,128,4096,2816
1195,128,4096,3072
1196,128,4096,3328
1197,128,4096,3584
1198,128,4096,3840
1199,128,4096,0
1200,128,4096,256
1201,128,4096,512
1202,128,4096,768
1203,128,4096,1024
1204,128,4096,1280
1205,128,4096,1536
1206,128,4096,1792
1207,128,4096,2048
1208,128,4096,2304
1209,128,4096,2560
1210,128,4096,2816
1211,128,4096,3072
1212,128,4096,3328
1213,128,4096,3584
1214,128,4096,3840
1215,128,4096,0
1216,128,4096,256
1217,128,4096,512
1218,128,4096,768
1219,128,4096,1024
1220,128,4096,1280
1221,128,4096,1536
1222,128,4096,1792
1223,128,4096,2048
1224,128,4096,2304
1225,128,4096,2560
1226,128,4096,2816
1227,128,4096,3072
1228,128,4096,3328
1229,128,4096,3584
1230,128,4096,3840
1231,128,4096,0
1232,128,4096,256
1233,128,4096,512
1234,128,4096,768
1235,128,4096,1024
1236,128,4096,1280
1237,128,4096,1536
1238,128,4096,1792
1239,128,4096,2048
1240,128,4096,2304
1241,128,4096,2560
1242,128,4096,2816
1243,128,4096,3072
1244,128,4096,3328
1245,128,4096,3584
1246,128,4096,3840
1247,128,4096,0
1248,128,4096,256
1249,128,4096,512
1250,128,4096,768
1251,128,4096,1024
1252,128,4096,1280
1253,128,4096,1536
1254,128,4096,1792
1255,128,4096,2048
1256,128,4096,2304
1257,128,4096,2560
1258,128,4096,2816
1259,128,4096,3072
1260,128,4096,3328
1261,128,4096,3584
1262,128,4096,3840
1263,128,4096,0
1264,128,4096,256
1265,128,4096,512
1266,128,4096,768
1267,128,4096,1024
1268,128,4096,1280
1269,128,4096,1536
1270,128,4096,1792
1271,128,4096,2048
1272,128,4096,2304
1273,128,4096,2560
1274,128,4096,2816
1275,128,4096,3072
1276,128,4096,3328
1277,128,4096,3584
1278,128,4096,3840
1279,128,4096,0
1280,128,4096,256
1281,128,4096,512
1282,128,4096,768
1283,128,4096,1024
1284,128,4096,1280
1285,128,4096,1536
1286,128,4096,1792
1287,128,4096,2048
1288,128,4096,2304
1289,128,4096,2560
1290,128,4096,2816
1291,128,4096,3072
1292,128,4096,3328
1293,128,4096,3584
1294,128,4096,3840
1295,128,4096,0
1296,128,4096,256
1297,128,4096,512
1298,128,4096,768
1299,128,4096,1024
1300,128,4096,1280
1301,128,4096,1536
1302,128,4096,1792
1303,128,4096,2048
1304,128,4096,2304
1305,128,4096,2560
1306,128,4096,2816
1307,128,4096,3072
1308,128,4096,3328
1309,128,4096,3584
1310,128,4096,3840
1311,128,4096,0
1312,128,4096,256
1313,128,4096,512
1314,128,4096,768
1315,128,4096,1024
1316,128,4096,1280
1317,128,4096,1536
1318,128,4096,1792
1319,128,4096,2048
1320,128,4096,2304
1321,128,4096,2560
1322,128,4096,2816
1323,128,4096,3072
1324,128,4096,3328
1325,128,4096,3584
1326,128,4096,3840
1327,128,4096,0
1328,128,4096,256
1329,128,4096,512
1330,128,4096,768
1331,128,4096,1024
1332,128,4096,1280
1333,128,4096,1536
1334,128,4096,1792
1335,128,4096,2048
1336,128,4096,2304
1337,128,4096,2560
1338,128,4096,2816
1339,128,4096,3072
1340,128,4096,3328
1341,128,4096,3584
1342,128,4096,3840
1343,128,4096,0
1344,128,4096,256
1345,128,4096,512
1346,128,4096,768
1347,128,4096,1024
1348,128,4096,1280
1349,128,4096,1536
1350,128,4096,1792
1351,128,4096,2048
1352,128,4096,2304
1353,128,4096,2560
1354,128,4096,2816
1355,128,4096,3072
1356,128,4096,3328
1357,128,4096,3584
1358,128,4096,3840
1359,128,4096,0
1360,128,4096,256
1361,128,4096,512
1362,128,4096,768
1363,128,4096,1024
1364,128,4096,1280
1365,128,4096,1536
1366,128,4096,1792
1367,128,4096,2048
1368,128,4096,2304
1369,128,4096,2560
1370,128,4096,2816
1371,128,4096,3072
1372,128,4096,3328
1373,128,4096,3584
1374,128,4096,3840
1375,128,4096,0
1376,128,4096,256
1377,128,4096,512
1378,128,4096,768
1379,128,4096,1024
1380,128,4096,1280
1381,128,4096,1536
1382,128,4096,1792
1383,128,4096,2048
